Customer ID,Recency,Frequency,Monetary,distinct_products,tenure_days,avg_order_value,purchase_interval_std,is_uk,churned,cluster
12346,206,12,522.62,27,606,43.55166666666667,65.42698914890481,1,1,2
12347,10,6,3302.55,107,284,550.4250000000001,12.759310326189263,0,0,1
12348,129,4,1509.0,25,318,377.25,21.37755832643195,0,0,2
12349,288,3,2169.04,90,469,723.0133333333333,101.82337649086284,0,0,2
12350,190,1,309.35,17,190,309.35,0.0,0,1,0
12351,255,1,300.93,21,255,300.93,0.0,0,1,0
12352,142,7,1060.06,38,273,151.43714285714285,28.891175123210203,0,0,2
12353,84,2,406.76,23,289,203.38,0.0,0,1,3
12354,112,1,1073.4,58,112,1073.4,0.0,0,1,0
12355,94,2,947.61,35,448,473.805,0.0,0,1,2
12356,126,5,6151.38,104,305,1230.276,29.37544325906703,0,0,2
12357,268,2,11244.94,165,269,5622.47,0.0,0,0,2
12358,31,4,3028.52,56,612,757.13,27.073972741361768,0,0,3
12359,70,9,5229.71,230,614,581.0788888888889,43.54882317583335,0,0,1
12360,81,6,2398.86,108,536,399.81,78.78642014966793,0,0,2
12361,167,4,511.05,18,562,127.7625,37.8021163428716,0,1,2
12362,36,4,1290.65,68,619,322.6625,215.64090521049107,0,0,3
12363,122,1,299.1,16,122,299.1,0.0,0,0,0
12365,171,2,335.64,22,171,167.82,0.0,0,1,0
12366,514,1,500.24,3,514,500.24,0.0,0,1,0
12368,508,1,917.7,18,508,917.7,0.0,0,1,0
12369,293,3,1615.8,90,522,538.6,111.01576464628796,0,1,2
12370,155,6,3291.35,150,549,548.5583333333333,109.1274484261407,0,0,2
12371,289,3,1953.97,91,525,651.3233333333334,166.17009357883867,0,0,2
12372,93,2,902.72,32,177,451.36,0.0,0,0,2
12373,191,3,1002.4,36,554,334.1333333333333,185.969083452062,0,1,2
12374,301,3,2121.04,47,468,707.0133333333333,117.37972567696688,0,0,2
12376,270,2,428.0,11,298,214.0,0.0,0,1,0
12377,195,4,3318.12,129,469,829.53,101.53324578678652,0,1,2
12378,10,2,5317.08,281,442,2658.54,0.0,0,1,3
12379,50,3,1227.4199999999998,50,415,409.13999999999993,98.99494936611666,0,0,3
12380,66,8,5629.04,125,543,703.63,102.98289270784828,0,0,1
12383,65,5,1837.86,84,232,367.572,18.5,0,1,2
12384,2,1,242.59,14,2,242.59,0.0,0,0,3
12385,259,1,1937.5,65,259,1937.5,0.0,0,1,2
12386,218,2,401.9,10,247,200.95,0.0,0,1,0
12387,295,1,139.94,9,295,139.94,0.0,0,1,0
12388,28,6,2788.79,77,462,464.79833333333335,55.86770086552694,0,0,1
12389,283,3,1433.33,41,536,477.7766666666666,53.74011537017761,0,1,2
12391,345,5,2109.18,159,543,421.836,61.37589103222861,0,0,2
12392,471,1,234.75000000000003,7,471,234.75000000000003,0.0,0,1,0
12393,126,5,1877.95,53,308,375.59,32.78592177546129,0,0,2
12394,97,1,380.98,21,97,380.98,0.0,0,0,0
12395,42,10,3411.11,119,483,341.111,32.58493175959983,0,0,1
12396,554,1,931.43,65,554,931.43,0.0,0,1,0
12397,15,1,1202.46,70,15,1202.46,0.0,0,0,3
12399,63,6,1752.33,58,525,292.055,48.92340952959023,0,0,2
12400,294,1,205.25,11,294,205.25,0.0,0,1,0
12401,183,1,84.25,5,183,84.25,0.0,0,1,0
12402,203,6,1256.5,43,551,209.41666666666663,7.874007874011811,0,1,2
12403,402,1,585.5600000000001,4,402,585.5600000000001,0.0,0,0,0
12404,562,1,14.95,1,562,14.95,0.0,0,1,0
