Customer ID,Recency,Frequency,Monetary,distinct_products,tenure_days,avg_order_value,purchase_interval_std,is_uk,churned,cluster,churn_probability,predicted_clv_6m,predicted_purchases_6m,frequency,recency,T,expected_value_at_risk
14646,2,113,328918.8,789,617,2910.7858407079643,7.49480729719827,0,0,1,0.04570288684717328,82371.10779172549,18.374417055884017,70.0,615.0,618.0,3764.5974188815435
18102,6,111,271767.55,311,619,2448.356306306306,9.561132920262766,1,0,1,0.04880605392210317,68327.66208558,14.433047463648707,55.0,612.0,619.0,3334.803560120062
14156,1,133,221525.5,1339,619,1665.6052631578948,5.785445017092594,0,0,1,0.043764715259563186,55704.81526218016,26.675871568165917,102.0,617.0,619.0,2437.905378535884
14911,1,295,198752.1,2140,619,673.7359322033899,3.006005381275218,0,0,1,0.04501124560953527,49915.23295931018,51.13879424894598,196.0,618.0,619.0,2246.7468103886804
13694,8,126,142021.95,819,615,1127.1583333333335,6.353053621887716,1,0,1,0.044551108136433454,35602.22775926214,19.183783027724182,73.0,608.0,616.0,1586.1186988008205
12415,24,19,84409.86,398,408,4442.624210526315,19.70335560817553,0,0,1,0.04928598965098987,30472.055857384094,6.143229716678901,16.0,384.0,408.0,1501.8454296314176
17511,8,48,130226.8,560,618,2713.0583333333334,9.410319684194684,1,0,1,0.045313123169451935,32483.396815001463,10.549042999145245,40.0,610.0,618.0,1471.924160840344
12590,91,2,9059.81,68,91,4529.905,0.0,0,1,2,0.43905820009144114,3125.187749242192,0.7139491918665907,0.0,0.0,92.0,1372.139308130099
15061,8,116,94378.32,120,619,813.6062068965516,7.6970379752653795,1,0,1,0.057512468896073,23130.11567226315,15.72688554310515,60.0,611.0,619.0,1330.270058163605
15311,1,177,94841.62,758,619,535.8283615819208,3.02551916764152,1,0,1,0.05400392628310612,23708.921339707173,42.80330138432894,164.0,617.0,619.0,1280.3748402815079
13089,9,171,90619.04,734,617,529.9359064327485,4.1271135774328105,1,0,1,0.05582207565647281,22750.832655117923,28.437687110360564,109.0,608.0,618.0,1269.998701721745
16684,13,45,89610.37,156,612,1991.3415555555555,17.7424611033596,1,0,1,0.04904406496999414,22874.252345602592,7.47014959810775,28.0,599.0,613.0,1121.8463181777743
12753,16,5,16620.91,114,243,3324.182,40.38976768110128,0,0,1,0.1319250508759792,8130.00601207904,2.57563465149127,4.0,227.0,243.0,1072.5514567655441
16029,7,87,55866.42,48,612,642.1427586206896,7.042076005932073,1,0,1,0.06461935710638983,14034.173785864199,15.629963059324483,59.0,605.0,612.0,906.8792875618936
